sample	purity	notes	cluster_label	meanCN_abs_dev	standard_deviation	total_number_over_tresh	n_del	n_gain	del_presence	perc_alterations	clust_size_prop	distance_from_integer	size_confidence	size_confidence_del	quality_sd
Tumor_Only_001_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_002_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_004_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_005_pair	0.559	Clustering done: 11 events 	3	0.5609087543333332	0.0751	3	2	1	1	0.2727272727272727	0.8181818181818182	0.4390912456666668	2	2.5	2
Tumor_Only_006_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_007_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_008_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_009_pair	0.977	Clustering done: 7 events 	2	0.9789207135676938	0.0284	4	3	1	1	0.5714285714285714	1.7142857142857142	0.021079286432306166	2	2.5	3
Tumor_Only_010_pair	0.874	Clustering done: 6 events 	3	0.8848845090000004	0.0293	4	0	4	0	0.6666666666666666	1.3333333333333333	0.11511549099999963	2	2	3
Tumor_Only_011_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_012_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_013_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_014_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_015_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_016_pair	1	Clustering done: 18 events 	3	1.000256379391496	0.0702	12	0	12	0	0.6666666666666666	2.6666666666666665	2.5637939149603106e-4	3	3	2
Tumor_Only_017_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_018_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_019_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tumor_Only_020_pair	1	NO CLUSTERING (rule 2): most alterations already clonal, most probable purity = 100%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
